Rank,RatingTomatometer,Title,No. of Reviews,URL
69,95%,Street Gang: How We Got to Sesame Street (2021),91,https://www.rottentomatoes.com//m/street_gang_how_we_got_to_sesame_street
70,93%,Herself (2021),136,https://www.rottentomatoes.com//m/herself
71,96%,Test Pattern (2021),53,https://www.rottentomatoes.com//m/test_pattern
72,96%,In the Same Breath (2021),52,https://www.rottentomatoes.com//m/in_the_same_breath
73,96%,Plan B (2021),51,https://www.rottentomatoes.com//m/plan_b_2021
74,94%,The Souvenir: Part II (2021),97,https://www.rottentomatoes.com//m/the_souvenir_part_ii
75,96%,The Novice (2021),50,https://www.rottentomatoes.com//m/the_novice_2021
76,93%,Val (2021),118,https://www.rottentomatoes.com//m/val
77,88%,Zola (2021),233,https://www.rottentomatoes.com//m/zola
78,95%,Rose Plays Julie (2021),60,https://www.rottentomatoes.com//m/rose_plays_julie
79,95%,Lapsis (2021),58,https://www.rottentomatoes.com//m/lapsis
80,95%,Dear Comrades! (2021),55,https://www.rottentomatoes.com//m/dear_comrades
81,84%,Candyman (2021),321,https://www.rottentomatoes.com//m/candyman_2021
82,94%,The Beta Test (2021),78,https://www.rottentomatoes.com//m/the_beta_test
83,89%,Supernova (2021),197,https://www.rottentomatoes.com//m/supernova_2021
84,93%,Mogul Mowgli (2021),100,https://www.rottentomatoes.com//m/mogul_mowgli
85,92%,Licorice Pizza (2021),125,https://www.rottentomatoes.com//m/licorice_pizza
86,93%,The Killing of Two Lovers (2021),98,https://www.rottentomatoes.com//m/the_killing_of_two_lovers
87,79%,Black Widow (2021),437,https://www.rottentomatoes.com//m/black_widow_2021
88,92%,Limbo (2021),119,https://www.rottentomatoes.com//m/limbo_2021
89,90%,Encanto (2021),167,https://www.rottentomatoes.com//m/encanto_2021
90,91%,Roadrunner: A Film About Anthony Bourdain (2021),142,https://www.rottentomatoes.com//m/roadrunner_a_film_about_anthony_bourdain
91,95%,The Old Ways (2021),42,https://www.rottentomatoes.com//m/the_old_ways_2021
92,95%,El Planeta (2021),40,https://www.rottentomatoes.com//m/el_planeta
93,94%,Old Henry (2021),62,https://www.rottentomatoes.com//m/old_henry
94,93%,Some Kind of Heaven (2021),84,https://www.rottentomatoes.com//m/some_kind_of_heaven
95,92%,The Humans (2021),102,https://www.rottentomatoes.com//m/the_humans
96,94%,Never Gonna Snow Again (2021),49,https://www.rottentomatoes.com//m/never_gonna_snow_again
97,88%,Titane (2021),194,https://www.rottentomatoes.com//m/titane
98,90%,Together Together (2021),144,https://www.rottentomatoes.com//m/together_together
99,93%,Swan Song (2021),70,https://www.rottentomatoes.com//m/swan_song_2021
100,93%,Final Account (2021),69,https://www.rottentomatoes.com//m/final_account
